mode	metric	n_log_points	pearson_r_log10	spearman_rho_log10	beta_N	beta_S	clip_N	clip_S
epi_NS_auto	omegaCany2any	8168	0.9995131389914934	0.9983697039288836	0.91	0.86	1.5	1.5
epi_N_auto	omegaCany2any	8167	0.9995826341730475	0.998498614695946	0.91		1.5	
epi_S_auto	omegaCany2any	8168	0.999937314932223	0.9998829406573536		0.86		1.5
epi_NS_auto	omegaCany2dif	8125	0.9995476747868539	0.9988472953519805	0.91	0.86	1.5	1.5
epi_N_auto	omegaCany2dif	8125	0.9996213408438097	0.9989380637893788	0.91		1.5	
epi_S_auto	omegaCany2dif	8125	0.9999198937062727	0.9999170851255444		0.86		1.5
epi_NS_auto	omegaCany2spe	7581	0.999717212431973	0.9996791288560174	0.91	0.86	1.5	1.5
epi_N_auto	omegaCany2spe	7580	0.9997889748823525	0.9997298162218833	0.91		1.5	
epi_S_auto	omegaCany2spe	7586	0.9999228357457667	0.9999409063484518		0.86		1.5
