case	stat	n_total	n_positive_finite	median_none	median_case	median_ratio_case_over_none	pearson_log10
sym_observed	omegaCany2any	1620	1545	0.5031	0.982	1.5679355376493471	0.16866920369639501
sym_observed	omegaCany2dif	1620	1518	0.39615	0.9795	2.050105693539815	0.1484463594274765
sym_observed	omegaCany2spe	1620	1323	0.3506	1.0629	2.842005477143459	-0.0390180663971331
sym_expected	omegaCany2any	1620	1491	0.5364	0.3225	0.6407909961081308	0.8618672254521513
sym_expected	omegaCany2dif	1620	1469	0.4212	0.2501	0.6958138546536337	0.8825655481723861
sym_expected	omegaCany2spe	1620	1231	0.4547	0.0945	0.2558991981672394	0.9004282635856926
sym_both	omegaCany2any	1620	1545	0.5031	0.9788	1.481427882296189	0.4033299181783937
sym_both	omegaCany2dif	1620	1518	0.39615	0.94895	1.8449002012565534	0.37435719173362736
sym_both	omegaCany2spe	1620	1323	0.3506	1.0084	2.579054250072527	0.5073341969455782
